Word - The base word plus all the inflected forms for all parts of speech.			
FEL Rank - The rank based on frequency in sorted in descending order. Words with the same frequency are given the same rank.			
SFI - Standard Frequency Index (Carroll	 1971) A lognormal transformation of poportional frequency		
U - Estimated frequency per million words			

Word,FEL Rank,SFI,U
ultimate,330,55.34,34.2
uncomfortable,409,54.21,26.37
underneath,29,65.87,386.85
unravel,380,54.55,28.54
upbeat,387,54.47,28.02
uplift,155,59.02,79.84
upload,357,54.93,31.11
uppercut,179,58.2,66.14
upright,177,58.35,68.41
upward,86,61.78,150.83
urine,561,52.92,19.57
utilize,435,53.98,25.03
vegan,338,55.15,32.76
vegetarian,540,53.12,20.5
vertebra,217,57.14,51.82
vertical,505,53.39,21.84
vinyasa,143,59.38,86.64
visualize,190,57.89,61.51
vitamin,71,63.13,205.74
waist,145,59.32,85.61
waistline,351,55.01,31.73
warmup,254,56.45,44.2
warrior,42,64.63,290.22
whey,233,56.84,48.32
whichever,290,55.97,39.56
whoa,163,58.83,76.34
widen,360,54.9,30.91
width,61,63.54,225.83
wiggle,259,56.4,43.68
windshield,506,53.39,21.84
wiper,542,53.07,20.3
workout,7,70.81,1205.27
wow,193,57.77,59.86
wrist,31,65.48,353.06
yep,229,56.88,48.73
yoga,6,71.13,1296.24
yogi,141,59.42,87.47
yogurt,523,53.2,20.91
yummy,484,53.59,22.87
zero,574,52.85,19.27
zinc,531,53.16,20.71
