This sample contains frequency information for every tenth word (word #131, 141, 151, etc) in the top 60,000 word list from iWeb.
-- The list is lemmatized, meaning that all "inflected" forms are included. For example, "get" (#41) is 
the combined frequency of get, gets, got, gotten, and getting.
-- There is also a "word forms" list, which has each form and its frequency as separate columns.

-------------------------------

More information:

https://www.wordfrequency.info: Word frequency lists (from iWeb, COCA, and more)
https://corpus.byu.edu/iweb/: iWeb corpus (14 billion words, 22 million words, 95,000 selected websites)
http://davies-linguistics.byu.edu/: Mark Davies (creator of the iWeb corpus)

-------------------------------

-- A word may appear multiple times in the list, each for a different part of speech (e.g. "strike" as a noun and as a verb).
-- Some words are parts of multi-word expressions, especially for adverbs ("r"), conjunctions ("c"), and prepositions ("i").
For example, "light" as a preposition (#6592) is part of the phrase "in light of".

* "wordID" corresponds in most cases to the ranking (1-60,000). It can safely be ignored in most cases, although it will provide a 
way to match up this data with the collocates or n-grams data.
* pos = part of speech (the first letter from the PoS codes at http://ucrel.lancs.ac.uk/claws7tags.html)
* "Range" is the percentage of the ~95,000 websites that have the word at least once.
* "Range10" is the percentage of the ~95,000 websites that have the word at least ten times.
* "Caps" is the percentage of forms of the word that are capitalized. This is especially useful for nouns, where 
capitalization is often a marker of proper nouns. (Proper nouns are not included in the list, but there are
many words that "straddle" the line between common and proper nouns, e.g. Rice/rice, Brown/brown, Beach/beach).


rank	wordID	word	PoS	frequency	range	range10	caps
2081	2102	conclusion	n	652626	0.36	0.14	0.26
2091	2129	tradition	n	649440	0.36	0.15	0.07
2101	2121	difficulty	n	646508	0.4	0.15	0.05
2111	2147	hell	n	643552	0.44	0.13	0.27
2121	2122	calculate	v	637603	0.35	0.14	0.08
2131	2155	bonus	n	634242	0.34	0.13	0.18
2141	2171	pack	v	630632	0.43	0.17	0.12
2151	2205	ok	r	628410	0.31	0.15	0.78
2161	2203	minor	j	625413	0.4	0.16	0.11
2171	2014	target	v	621023	0.37	0.14	0.07
2181	2235	scholarship	n	615530	0.18	0.1	0.32
2191	2229	solar	j	611748	0.33	0.08	0.19
2201	2234	steal	v	608456	0.34	0.15	0.05
2211	2254	efficiency	n	604737	0.35	0.14	0.06
2221	2222	expose	v	601801	0.42	0.16	0.02
2231	2274	settle	v	598986	0.4	0.15	0.02
2241	2268	industrial	j	595605	0.31	0.13	0.23
2251	2303	cheese	n	592320	0.19	0.09	0.13
2261	2300	parameter	n	589989	0.19	0.09	0.08
2271	2304	comparison	n	586831	0.64	0.15	0.08
2281	2297	auto	n	584434	0.26	0.11	0.37
2291	2312	audio	j	580937	0.22	0.09	0.18
2301	2349	quiet	j	576656	0.36	0.14	0.06
2311	2355	delicious	j	573256	0.22	0.1	0.06
2321	2368	bond	n	570864	0.24	0.1	0.09
2331	2390	tall	j	567713	0.33	0.13	0.06
2341	2397	constant	j	564392	0.43	0.15	0.05
2351	2335	flag	n	561772	0.28	0.11	0.16
2361	2367	estimate	v	559581	0.33	0.12	0.05
2371	2421	mount	v	555492	0.24	0.11	0.07
2381	2440	somewhat	r	552323	0.59	0.15	0.03
2391	2453	pot	n	549453	0.23	0.1	0.1
2401	2449	attitude	n	546725	0.35	0.13	0.05
2411	2182	bind	v	544088	0.36	0.11	0.06
2421	2479	pilot	n	540616	0.23	0.09	0.16
2431	2410	trade	v	538382	0.24	0.08	0.05
2441	2497	neighbor	n	535858	0.31	0.12	0.05
2451	2500	in	c	533721	0.69	0.16	0.17
2461	2523	dance	n	530890	0.25	0.11	0.22
2471	2251	promotion	n	527243	0.35	0.12	0.15
2481	2537	strange	j	525172	0.31	0.13	0.09
2491	2546	wrap	v	522711	0.38	0.14	0.1
2501	2543	guidance	n	519584	0.36	0.13	0.09
2511	2563	potentially	r	516899	0.39	0.14	0.02
2521	2567	expertise	n	513915	0.37	0.14	0.04
2531	2566	working	j	511922	0.42	0.14	0.04
2541	2601	knee	n	510182	0.22	0.09	0.06
2551	2602	calorie	n	506208	0.33	0.08	0.23
2561	2641	opponent	n	504353	0.15	0.08	0.03
2571	2614	driving	j	501503	0.3	0.1	0.1
2581	2652	sand	n	499703	0.25	0.11	0.14
2591	2580	sin	n	496880	0.1	0.04	0.1
2601	2647	patient	j	494175	0.24	0.08	0.13
2611	2072	newspaper	n	491771	0.27	0.1	0.08
2621	2690	decrease	v	489398	0.33	0.12	0.03
2631	2694	framework	n	488102	0.26	0.11	0.18
2641	2685	fishing	n	485899	0.18	0.08	0.13
2651	2714	completion	n	483382	0.31	0.12	0.1
2661	2645	overview	n	481257	0.33	0.12	0.5
2671	2671	quote	n	479521	0.28	0.11	0.15
2681	2746	sick	j	477851	0.28	0.11	0.06
2691	2764	curriculum	n	474909	0.19	0.1	0.16
2701	2736	prospect	n	473118	0.23	0.09	0.08
2711	2779	evolve	v	469672	0.38	0.12	0.05
2721	2532	verify	v	467186	0.35	0.12	0.12
2731	2788	emerge	v	464421	0.32	0.11	0.02
2741	2716	legend	n	461643	0.25	0.1	0.42
2751	2821	workout	n	459334	0.13	0.06	0.06
2761	2771	transmission	n	455728	0.19	0.07	0.09
2771	2649	grant	n	452514	0.22	0.11	0.11
2781	2837	Russian	j	450311	0.17	0.07	1
2791	2856	worth	n	447504	0.61	0.11	0.06
2801	2857	instructor	n	446249	0.21	0.09	0.18
2811	2789	seller	n	444413	0.18	0.08	0.15
2821	2871	preserve	v	442243	0.34	0.11	0.05
2831	2891	formal	j	440315	0.32	0.11	0.06
2841	2907	pour	v	438489	0.25	0.1	0.2
2851	2922	gray	j	435660	0.29	0.11	0.09
2861	2911	manual	n	432621	0.24	0.09	0.23
2871	2932	attraction	n	430097	0.2	0.07	0.09
2881	2941	celebration	n	427211	0.3	0.11	0.13
2891	2944	fiber	n	424674	0.17	0.08	0.08
2901	4214	near	j	422051	0.68	0.06	0.06
2911	2939	yours	p	420877	0.62	0.11	0.08
2921	2933	consultant	n	419098	0.26	0.09	0.23
2931	2994	latter	d	416588	0.51	0.09	0.01
2941	3004	marine	j	415147	0.17	0.07	0.5
2951	2998	program	v	412976	0.32	0.1	0.16
2961	2961	satisfy	v	411491	0.37	0.1	0.01
2971	3025	Jewish	j	408525	0.1	0.05	0.99
2981	3036	lock	n	406367	0.23	0.08	0.05
2991	3054	improved	j	403137	0.35	0.11	0.13
3001	3085	barrel	n	399077	0.14	0.06	0.09
3011	3102	exhibition	n	397166	0.16	0.07	0.13
3021	3108	strip	n	395414	0.23	0.09	0.14
3031	3082	shelf	n	394247	0.25	0.09	0.07
3041	3088	possess	v	393320	0.27	0.08	0.03
3051	3112	lip	n	391715	0.18	0.07	0.11
3061	3087	ownership	n	388348	0.27	0.09	0.08
3071	3150	unusual	j	387428	0.32	0.1	0.04
3081	3160	castle	n	385725	0.15	0.07	0.49
3091	3162	sustainable	j	384113	0.23	0.09	0.14
3101	3183	tourist	n	382838	0.16	0.07	0.09
3111	2638	submission	n	379710	0.23	0.09	0.17
3121	3210	laser	n	378608	0.34	0.06	0.2
3131	3125	certified	j	377001	0.27	0.09	0.38
3141	3207	nutrition	n	374885	0.17	0.07	0.3
3151	3197	programming	n	372444	0.22	0.08	0.1
3161	3192	wildlife	n	370140	0.15	0.07	0.3
3171	3237	bath	n	368380	0.18	0.07	0.07
3181	3284	import	v	366389	0.2	0.08	0.08
3191	3234	wise	j	364670	0.53	0.09	0.07
3201	3297	stomach	n	363730	0.35	0.07	0.03
3211	3302	emphasis	n	361545	0.29	0.09	0.09
3221	3301	unlikely	j	359861	0.28	0.09	0.02
3231	3276	occasionally	r	358427	0.31	0.09	0.16
3241	3336	double	v	357076	0.32	0.09	0.05
3251	3315	high	r	355830	0.33	0.09	0.08
3261	3324	survival	n	354823	0.21	0.07	0.16
3271	3332	sir	n	353149	0.16	0.06	0.75
3281	3361	spot	v	351962	0.53	0.09	0.06
3291	3393	blame	v	349334	0.23	0.08	0.04
3301	3370	maximize	v	348100	0.34	0.09	0.06
3311	3391	logic	n	346744	0.21	0.08	0.19
3321	3423	shit	n	345509	0.09	0.05	0.07
3331	3399	light	v	344364	0.54	0.08	0.06
3341	3412	loose	j	342777	0.26	0.09	0.06
3351	3453	build	n	341366	0.18	0.07	0.1
3361	3442	full-time	j	339384	0.23	0.08	0.08
3371	3469	lemon	n	338098	0.13	0.06	0.22
3381	3298	license	v	336667	0.25	0.07	0.13
3391	3468	align	v	334866	0.29	0.08	0.08
3401	3500	major	n	333516	0.18	0.07	0.41
3411	3502	abroad	r	331441	0.19	0.07	0.09
3421	3501	aluminum	n	329946	0.14	0.07	0.14
3431	3484	republic	n	327880	0.16	0.06	0.86
3441	3508	subsequent	j	326681	0.55	0.07	0.06
3451	3495	assumption	n	324313	0.21	0.07	0.06
3461	3547	managing	j	322714	0.25	0.08	0.33
3471	3570	assistant	j	321723	0.2	0.08	0.45
3481	3564	header	n	320532	0.12	0.06	0.11
3491	3586	bend	v	319680	0.22	0.08	0.08
3501	3583	Greek	j	318519	0.14	0.06	1
3511	3529	administer	v	317627	0.22	0.07	0.04
3521	3528	unlock	v	316518	0.18	0.05	0.12
3531	3626	wooden	j	315613	0.21	0.08	0.1
3541	3603	dot	n	314796	0.21	0.07	0.27
3551	3669	barely	r	313666	0.25	0.08	0.03
3561	3637	independence	n	311922	0.2	0.06	0.3
3571	3667	coconut	n	311032	0.09	0.05	0.2
3581	3674	actively	r	309811	0.33	0.08	0.03
3591	3662	fly	n	308543	0.2	0.06	0.17
3601	3595	bid	n	306841	0.14	0.06	0.1
3611	3634	power	v	305781	0.23	0.07	0.11
3621	3661	gaming	n	304453	0.11	0.05	0.2
3631	3696	heel	n	303408	0.16	0.06	0.07
3641	3726	initiate	v	301946	0.26	0.07	0.05
3651	3727	bulb	n	300294	0.11	0.05	0.07
3661	3751	recruit	v	299633	0.21	0.06	0.06
3671	3760	interval	n	298177	0.18	0.06	0.06
3681	3800	spray	n	297017	0.16	0.07	0.12
3691	3791	meaningful	j	296154	0.28	0.07	0.04
3701	3812	leave	n	295326	0.16	0.05	0.16
3711	3795	sustain	v	294278	0.25	0.07	0.04
3721	3802	risk	v	292551	0.27	0.07	0.18
3731	3828	pie	n	291655	0.16	0.06	0.22
3741	3830	flour	n	290488	0.09	0.04	0.06
3751	3806	delay	v	289179	0.26	0.07	0.05
3761	3864	solo	n	287488	0.15	0.06	0.17
3771	3856	flame	n	286389	0.17	0.06	0.25
3781	3866	apparent	j	285468	0.24	0.07	0.01
3791	3912	physics	n	284425	0.14	0.06	0.27
3801	3827	finance	v	283740	0.2	0.07	0.19
3811	3882	iconic	j	283120	0.21	0.07	0.04
3821	3719	intellectual	j	281912	0.18	0.06	0.12
3831	3591	constitute	v	281093	0.19	0.05	0.01
3841	3922	infant	n	280313	0.14	0.05	0.13
3851	3954	fiction	n	279277	0.13	0.05	0.15
3861	3932	exploration	n	277872	0.2	0.06	0.13
3871	3940	prophet	n	276494	0.05	0.02	0.48
3881	3970	proportion	n	275470	0.43	0.06	0.02
3891	3975	extraordinary	j	274228	0.23	0.06	0.06
3901	4008	packet	n	273281	0.14	0.05	0.1
3911	3999	density	n	272686	0.16	0.06	0.08
3921	4009	portrait	n	270813	0.14	0.05	0.17
3931	4026	moreover	r	269599	0.17	0.06	0.89
3941	4051	AC	n	269101	0.28	0.05	0.93
3951	4061	poem	n	268237	0.1	0.04	0.09
3961	4068	trap	n	267185	0.17	0.06	0.13
3971	4083	documentary	n	265432	0.15	0.05	0.08
3981	4107	drill	v	264199	0.14	0.05	0.11
3991	4039	shareholder	n	263135	0.09	0.04	0.1
4001	4098	productive	j	262039	0.24	0.06	0.02
